pclass,survived,sex,age,sibsp,parch,fare,embarked,title,deck
1.0,1.0,female,30.0,0.0,0.0,106.425,C,Miss,C
1.0,1.0,male,35.0,0.0,0.0,512.3292,C,Mr,B
1.0,0.0,male,45.02081623718634,0.0,0.0,27.7208,C,Mr,C
1.0,0.0,male,42.0,0.0,0.0,26.55,S,Mr,C
1.0,1.0,female,55.0,0.0,0.0,27.7208,C,Mrs,C
1.0,1.0,female,16.0,0.0,1.0,39.4,S,Miss,D
1.0,1.0,female,51.0,0.0,1.0,39.4,S,Mrs,D
1.0,0.0,male,29.0,0.0,0.0,30.0,S,Mr,D
1.0,1.0,female,21.0,0.0,0.0,77.9583,S,Miss,D
1.0,0.0,male,30.0,0.0,0.0,45.5,S,Mr,C
1.0,1.0,female,58.0,0.0,0.0,146.5208,C,Miss,B
1.0,1.0,female,15.0,0.0,1.0,211.3375,S,Miss,B
1.0,0.0,male,30.0,0.0,0.0,26.0,S,Mr,C
1.0,1.0,female,16.0,0.0,0.0,86.5,S,Miss,B
1.0,1.0,male,36.6524719972729,0.0,0.0,29.7,C,Mr,C
1.0,0.0,male,19.0,1.0,0.0,53.1,S,Mr,D
1.0,1.0,female,18.0,1.0,0.0,53.1,S,Mrs,D
1.0,1.0,female,24.0,0.0,0.0,49.5042,C,Miss,C
1.0,0.0,male,46.0,0.0,0.0,75.2417,C,Mr,C
1.0,0.0,male,54.0,0.0,0.0,51.8625,S,Mr,E
1.0,1.0,male,36.0,0.0,0.0,26.2875,S,Mr,E
1.0,0.0,male,28.0,1.0,0.0,82.1708,C,Mr,C
1.0,1.0,female,44.78451769277116,1.0,0.0,82.1708,C,Mrs,C
1.0,0.0,male,65.0,0.0,0.0,26.55,S,Mr,E
1.0,0.0,male,44.0,2.0,0.0,90.0,Q,Rare Title,C
1.0,1.0,female,33.0,1.0,0.0,90.0,Q,Miss,C
1.0,1.0,female,37.0,1.0,0.0,90.0,Q,Mrs,C
1.0,1.0,male,30.0,1.0,0.0,57.75,C,Mr,C
1.0,0.0,male,55.0,0.0,0.0,30.5,S,Mr,C
1.0,0.0,male,47.0,0.0,0.0,42.4,S,Mr,C
1.0,0.0,male,37.0,0.0,1.0,29.7,C,Mr,C
1.0,1.0,female,31.0,1.0,0.0,113.275,C,Miss,D
1.0,1.0,female,23.0,1.0,0.0,113.275,C,Miss,D
1.0,0.0,male,58.0,0.0,2.0,113.275,C,Mr,D
1.0,1.0,female,19.0,0.0,2.0,26.2833,S,Miss,D
1.0,0.0,male,64.0,0.0,0.0,26.0,S,Mr,A
1.0,1.0,female,39.0,0.0,0.0,108.9,C,Rare Title,C
1.0,1.0,male,38.698685633543306,0.0,0.0,25.7417,C,Mr,E
1.0,1.0,female,22.0,0.0,1.0,61.9792,C,Miss,B
1.0,0.0,male,65.0,0.0,1.0,61.9792,C,Mr,B
1.0,0.0,male,28.5,0.0,0.0,27.7208,C,Mr,D
1.0,0.0,male,37.73668353002362,0.0,0.0,0.0,S,Mr,F
1.0,0.0,male,45.5,0.0,0.0,28.5,S,Mr,C
1.0,0.0,male,23.0,0.0,0.0,93.5,S,Mr,B
1.0,0.0,male,29.0,1.0,0.0,66.6,S,Mr,C
1.0,1.0,female,22.0,1.0,0.0,66.6,S,Mrs,C
1.0,0.0,male,18.0,1.0,0.0,108.9,C,Mr,C
1.0,1.0,female,17.0,1.0,0.0,108.9,C,Mrs,C
1.0,1.0,female,30.0,0.0,0.0,93.5,S,Miss,B
1.0,1.0,male,52.0,0.0,0.0,30.5,S,Rare Title,C
1.0,0.0,male,47.0,0.0,0.0,52.0,S,Mr,C
1.0,1.0,female,56.0,0.0,1.0,83.1583,C,Mrs,C
1.0,0.0,male,38.0,0.0,0.0,0.0,S,Rare Title,A
1.0,1.0,male,39.6014794919581,0.0,0.0,39.6,S,Mr,C
1.0,0.0,male,22.0,0.0,0.0,135.6333,C,Mr,C
1.0,0.0,male,39.65806571446552,0.0,0.0,227.525,C,Mr,C
1.0,1.0,female,43.0,0.0,1.0,211.3375,S,Mrs,B
1.0,0.0,male,31.0,0.0,0.0,50.4958,S,Mr,A
1.0,1.0,male,45.0,0.0,0.0,26.55,S,Mr,D
1.0,0.0,male,48.512670617430956,0.0,0.0,50.0,S,Mr,A
1.0,1.0,female,33.0,0.0,0.0,27.7208,C,Miss,A
1.0,0.0,male,46.0,0.0,0.0,79.2,C,Mr,C
1.0,0.0,male,36.0,0.0,0.0,40.125,C,Mr,A
1.0,1.0,female,33.0,0.0,0.0,86.5,S,Rare Title,B
1.0,0.0,male,55.0,1.0,0.0,59.4,C,Mr,C
1.0,1.0,female,54.0,1.0,0.0,59.4,C,Mrs,C
1.0,0.0,male,33.0,0.0,0.0,26.55,S,Mr,F
1.0,1.0,male,13.0,2.0,2.0,262.375,C,Master,B
1.0,1.0,female,18.0,2.0,2.0,262.375,C,Miss,B
1.0,1.0,female,21.0,2.0,2.0,262.375,C,Miss,B
1.0,0.0,male,61.0,1.0,3.0,262.375,C,Mr,B
1.0,1.0,female,48.0,1.0,3.0,262.375,C,Mrs,B
1.0,1.0,male,38.18774492335773,0.0,0.0,30.5,S,Mr,C
1.0,1.0,female,24.0,0.0,0.0,69.3,C,Miss,B
1.0,1.0,male,40.38351935123141,0.0,0.0,26.0,S,Mr,E
1.0,1.0,female,35.0,1.0,0.0,57.75,C,Mrs,C
1.0,1.0,female,30.0,0.0,0.0,31.0,C,Miss,E
1.0,1.0,male,34.0,0.0,0.0,26.55,S,Mr,E
1.0,1.0,female,40.0,0.0,0.0,153.4625,S,Miss,C
1.0,1.0,male,35.0,0.0,0.0,26.2875,S,Mr,E
1.0,0.0,male,50.0,1.0,0.0,55.9,S,Mr,E
1.0,1.0,female,39.0,1.0,0.0,55.9,S,Mrs,E
1.0,1.0,male,56.0,0.0,0.0,35.5,C,Rare Title,A
1.0,1.0,male,28.0,0.0,0.0,35.5,S,Mr,A
1.0,0.0,male,56.0,0.0,0.0,26.55,S,Mr,A
1.0,0.0,male,56.0,0.0,0.0,30.6958,C,Mr,A
1.0,0.0,male,24.0,1.0,0.0,60.0,S,Mr,C
1.0,0.0,male,50.57989329624186,0.0,0.0,26.0,S,Mr,A
1.0,1.0,female,18.0,1.0,0.0,60.0,S,Mrs,C
1.0,1.0,male,24.0,1.0,0.0,82.2667,S,Mr,B
1.0,1.0,female,23.0,1.0,0.0,82.2667,S,Mrs,B
1.0,1.0,male,6.0,0.0,2.0,134.5,C,Master,E
1.0,1.0,male,45.0,1.0,1.0,134.5,C,Mr,E
1.0,1.0,female,40.0,1.0,1.0,134.5,C,Mrs,E
1.0,0.0,male,57.0,1.0,0.0,146.5208,C,Mr,B
1.0,1.0,female,35.667934508902505,1.0,0.0,146.5208,C,Mrs,B
1.0,1.0,male,32.0,0.0,0.0,30.5,C,Rare Title,B
1.0,0.0,male,62.0,0.0,0.0,26.55,S,Mr,C
1.0,1.0,male,54.0,1.0,0.0,55.4417,C,Mr,C
1.0,1.0,female,43.0,1.0,0.0,55.4417,C,Mrs,C
1.0,1.0,female,52.0,1.0,0.0,78.2667,C,Mrs,D
1.0,0.0,male,45.02081623718634,0.0,0.0,27.7208,C,Mr,C
1.0,1.0,female,62.0,0.0,0.0,80.0,S,Mrs,B
1.0,0.0,male,67.0,1.0,0.0,221.7792,S,Mr,C
1.0,0.0,female,63.0,1.0,0.0,221.7792,S,Mrs,C
1.0,0.0,male,61.0,0.0,0.0,32.3208,S,Mr,D
1.0,1.0,female,48.0,0.0,0.0,25.9292,S,Mrs,D
1.0,1.0,female,18.0,0.0,2.0,79.65,S,Miss,E
1.0,0.0,male,52.0,1.0,1.0,79.65,S,Mr,E
1.0,1.0,female,39.0,1.0,1.0,79.65,S,Mrs,E
1.0,1.0,male,48.0,1.0,0.0,52.0,S,Mr,C
1.0,1.0,female,37.5647706876035,1.0,0.0,52.0,S,Mrs,C
1.0,0.0,male,49.0,1.0,1.0,110.8833,C,Mr,C
1.0,1.0,male,17.0,0.0,2.0,110.8833,C,Mr,C
1.0,1.0,female,39.0,1.0,1.0,110.8833,C,Mrs,C
1.0,1.0,female,43.05242530393983,0.0,0.0,79.2,C,Mrs,C
1.0,1.0,male,31.0,0.0,0.0,28.5375,C,Mr,C
1.0,0.0,male,40.0,0.0,0.0,27.7208,C,Rare Title,A
1.0,0.0,male,61.0,0.0,0.0,33.5,S,Mr,B
1.0,0.0,male,47.0,0.0,0.0,34.0208,S,Mr,D
1.0,1.0,female,35.0,0.0,0.0,512.3292,C,Miss,B
1.0,0.0,male,64.0,1.0,0.0,75.25,C,Mr,D
1.0,1.0,female,60.0,1.0,0.0,75.25,C,Mrs,D
1.0,0.0,male,60.0,0.0,0.0,26.55,S,Rare Title,B
1.0,0.0,male,54.0,0.0,1.0,77.2875,S,Mr,D
1.0,0.0,male,21.0,0.0,1.0,77.2875,S,Mr,D
1.0,1.0,female,55.0,0.0,0.0,135.6333,C,Mrs,C
1.0,1.0,female,31.0,0.0,2.0,164.8667,S,Miss,C
1.0,0.0,male,57.0,1.0,1.0,164.8667,S,Mr,C
1.0,1.0,female,45.0,1.0,1.0,164.8667,S,Mrs,C
1.0,0.0,male,50.0,1.0,1.0,211.5,C,Mr,C
1.0,0.0,male,27.0,0.0,2.0,211.5,C,Mr,C
1.0,1.0,female,50.0,1.0,1.0,211.5,C,Mrs,C
1.0,1.0,female,21.0,0.0,0.0,26.55,S,Miss,D
1.0,0.0,male,51.0,0.0,1.0,61.3792,C,Mr,C
1.0,1.0,male,21.0,0.0,1.0,61.3792,C,Mr,B
1.0,0.0,male,45.10632599788467,0.0,0.0,35.0,S,Mr,C
1.0,1.0,female,31.0,0.0,0.0,134.5,C,Miss,E
1.0,1.0,male,37.93482784059971,0.0,0.0,35.5,S,Mr,C
1.0,0.0,male,62.0,0.0,0.0,26.55,S,Mr,A
1.0,1.0,female,36.0,0.0,0.0,135.6333,C,Miss,C
2.0,0.0,male,30.0,1.0,0.0,24.0,C,Mr,F
2.0,1.0,female,28.0,1.0,0.0,24.0,C,Mrs,E
2.0,0.0,male,30.0,0.0,0.0,13.0,S,Mr,F
2.0,0.0,male,18.0,0.0,0.0,11.5,S,Mr,F
2.0,0.0,male,25.0,0.0,0.0,10.5,S,Mr,F
2.0,0.0,male,34.0,1.0,0.0,26.0,S,Mr,F
2.0,1.0,female,36.0,1.0,0.0,26.0,S,Mrs,E
2.0,0.0,male,57.0,0.0,0.0,13.0,S,Mr,A
2.0,0.0,male,18.0,0.0,0.0,11.5,S,Mr,F
2.0,0.0,male,23.0,0.0,0.0,10.5,S,Mr,F
2.0,1.0,female,36.0,0.0,0.0,13.0,S,Mrs,D
2.0,0.0,male,28.0,0.0,0.0,10.5,S,Mr,F
2.0,0.0,male,51.0,0.0,0.0,12.525,S,Rare Title,A
2.0,1.0,male,32.0,1.0,0.0,26.0,S,Mr,E
2.0,1.0,female,19.0,1.0,0.0,26.0,S,Mrs,F
2.0,0.0,male,28.0,0.0,0.0,26.0,S,Mr,F
2.0,1.0,male,1.0,2.0,1.0,39.0,S,Master,F
2.0,1.0,female,4.0,2.0,1.0,39.0,S,Miss,F
2.0,1.0,female,12.0,2.0,1.0,39.0,S,Miss,F
2.0,1.0,female,36.0,0.0,3.0,39.0,S,Mrs,F
2.0,1.0,male,34.0,0.0,0.0,13.0,S,Mr,D
2.0,1.0,female,19.0,0.0,0.0,13.0,S,Miss,F
2.0,0.0,male,23.0,0.0,0.0,13.0,S,Mr,F
2.0,0.0,male,26.0,0.0,0.0,13.0,S,Mr,F
2.0,0.0,male,42.0,0.0,0.0,13.0,S,Mr,A
2.0,0.0,male,27.0,0.0,0.0,13.0,S,Mr,F
2.0,1.0,female,24.0,0.0,0.0,13.0,S,Miss,F
2.0,1.0,female,15.0,0.0,2.0,39.0,S,Miss,D
2.0,0.0,male,60.0,1.0,1.0,39.0,S,Mr,B
2.0,1.0,female,40.0,1.0,1.0,39.0,S,Mrs,C
2.0,1.0,female,20.0,1.0,0.0,26.0,S,Miss,D
2.0,0.0,male,25.0,1.0,0.0,26.0,S,Mr,F
2.0,1.0,female,36.0,0.0,0.0,13.0,S,Miss,E
2.0,0.0,male,25.0,0.0,0.0,13.0,S,Mr,F
2.0,0.0,male,42.0,0.0,0.0,13.0,S,Rare Title,A
2.0,1.0,female,42.0,0.0,0.0,13.0,S,Mrs,E
2.0,1.0,male,0.8333,0.0,2.0,29.0,S,Master,F
2.0,1.0,male,26.0,1.0,1.0,29.0,S,Mr,E
2.0,1.0,female,22.0,1.0,1.0,29.0,S,Mrs,D
2.0,1.0,female,35.0,0.0,0.0,21.0,S,Miss,E
2.0,0.0,male,34.510812241582244,0.0,0.0,0.0,S,Mr,F
2.0,0.0,male,19.0,0.0,0.0,13.0,S,Mr,F
2.0,0.0,female,44.0,1.0,0.0,26.0,S,Mrs,C
2.0,0.0,male,54.0,1.0,0.0,26.0,S,Rare Title,A
2.0,0.0,male,52.0,0.0,0.0,13.5,S,Mr,A
2.0,0.0,male,37.0,1.0,0.0,26.0,S,Mr,F
2.0,0.0,female,29.0,1.0,0.0,26.0,S,Mrs,F
2.0,1.0,female,25.0,1.0,1.0,30.0,S,Miss,E
2.0,1.0,female,45.0,0.0,2.0,30.0,S,Mrs,D
2.0,0.0,male,29.0,1.0,0.0,26.0,S,Mr,F
2.0,1.0,female,28.0,1.0,0.0,26.0,S,Mrs,E
2.0,0.0,male,29.0,0.0,0.0,10.5,S,Mr,F
2.0,0.0,male,28.0,0.0,0.0,13.0,S,Mr,F
2.0,1.0,male,24.0,0.0,0.0,10.5,S,Mr,F
2.0,1.0,female,8.0,0.0,2.0,26.25,S,Miss,F
2.0,0.0,male,31.0,1.0,1.0,26.25,S,Mr,F
2.0,1.0,female,31.0,1.0,1.0,26.25,S,Mrs,E
2.0,1.0,female,22.0,0.0,0.0,10.5,S,Mrs,F
2.0,0.0,female,30.0,0.0,0.0,13.0,S,Mrs,F
2.0,0.0,female,40.48511061991867,0.0,0.0,21.0,S,Mrs,C
2.0,0.0,male,21.0,0.0,0.0,11.5,S,Mr,F
2.0,0.0,male,34.510812241582244,0.0,0.0,0.0,S,Mr,F
2.0,1.0,male,8.0,1.0,1.0,36.75,S,Master,F
2.0,0.0,male,18.0,0.0,0.0,73.5,S,Mr,D
2.0,1.0,female,48.0,0.0,2.0,36.75,S,Mrs,C
2.0,1.0,female,28.0,0.0,0.0,13.0,S,Miss,E
2.0,0.0,male,32.0,0.0,0.0,13.0,S,Mr,F
2.0,0.0,male,17.0,0.0,0.0,73.5,S,Mr,D
2.0,0.0,male,29.0,1.0,0.0,27.7208,C,Mr,F
2.0,1.0,female,24.0,1.0,0.0,27.7208,C,Mrs,D
2.0,0.0,male,25.0,0.0,0.0,31.5,S,Mr,D
2.0,0.0,male,18.0,0.0,0.0,73.5,S,Mr,D
2.0,1.0,female,18.0,0.0,1.0,23.0,S,Miss,F
2.0,1.0,female,34.0,0.0,1.0,23.0,S,Mrs,E
