pclass,survived,sex,age_orig,sibsp,parch,fare,embarked,boat_nan,title,deck,age_imp_1,age_imp_2,age_imp_3,age_imp_4,age_imp_5,deck_imp_1,deck_imp_2,deck_imp_3,deck_imp_4,deck_imp_5
1,0,male,28.0,0,0,47.1,S,0,Mr,,28.0,28.0,28.0,28.0,28.0,3.0,2.0,4.0,4.0,2.0
1,0,male,17.0,0,0,47.1,S,0,Mr,,17.0,17.0,17.0,17.0,17.0,2.0,2.0,3.0,3.0,2.0
1,1,male,11.0,1,2,120.0,S,1,Master,B,11.0,11.0,11.0,11.0,11.0,2.0,2.0,2.0,2.0,2.0
1,1,female,14.0,1,2,120.0,S,1,Miss,B,14.0,14.0,14.0,14.0,14.0,2.0,2.0,2.0,2.0,2.0
1,1,male,36.0,1,2,120.0,S,1,Mr,B,36.0,36.0,36.0,36.0,36.0,2.0,2.0,2.0,2.0,2.0
1,1,female,36.0,1,2,120.0,S,1,Mrs,B,36.0,36.0,36.0,36.0,36.0,2.0,2.0,2.0,2.0,2.0
1,0,male,49.0,0,0,26.0,S,0,Mr,,49.0,49.0,49.0,49.0,49.0,3.0,2.0,3.0,4.0,3.0
1,1,female,,0,0,27.7208,C,1,Mrs,,76.0,53.0,40.0,33.0,35.0,3.0,2.0,3.0,3.0,1.0
1,0,male,36.0,1,0,78.85,S,0,Mr,C,36.0,36.0,36.0,36.0,36.0,3.0,3.0,3.0,3.0,3.0
1,1,female,76.0,1,0,78.85,S,1,Mrs,C,76.0,76.0,76.0,76.0,76.0,3.0,3.0,3.0,3.0,3.0
1,0,male,46.0,1,0,61.175,S,0,Mr,E,46.0,46.0,46.0,46.0,46.0,5.0,5.0,5.0,5.0,5.0
1,1,female,47.0,1,0,61.175,S,1,Mrs,E,47.0,47.0,47.0,47.0,47.0,5.0,5.0,5.0,5.0,5.0
1,1,male,27.0,1,0,53.1,S,1,Mr,E,27.0,27.0,27.0,27.0,27.0,5.0,5.0,5.0,5.0,5.0
1,1,female,33.0,1,0,53.1,S,1,Mrs,E,33.0,33.0,33.0,33.0,33.0,5.0,5.0,5.0,5.0,5.0
1,1,female,36.0,0,0,262.375,C,1,Miss,B,36.0,36.0,36.0,36.0,36.0,2.0,2.0,2.0,2.0,2.0
1,1,female,30.0,0,0,86.5,S,1,Miss,B,30.0,30.0,30.0,30.0,30.0,2.0,2.0,2.0,2.0,2.0
1,1,male,45.0,0,0,29.7,C,1,Mr,A,45.0,45.0,45.0,45.0,45.0,1.0,1.0,1.0,1.0,1.0
1,1,female,,0,1,55.0,S,1,Mrs,E,18.0,63.0,36.0,28.0,23.0,5.0,5.0,5.0,5.0,5.0
1,0,male,,0,0,0.0,S,0,Mr,,37.0,43.0,18.0,33.0,42.0,3.0,2.0,4.0,3.0,3.0
1,0,male,27.0,1,0,136.7792,C,0,Mr,C,27.0,27.0,27.0,27.0,27.0,3.0,3.0,3.0,3.0,3.0
1,1,female,26.0,1,0,136.7792,C,1,Mrs,C,26.0,26.0,26.0,26.0,26.0,3.0,3.0,3.0,3.0,3.0
1,1,female,22.0,0,0,151.55,S,1,Miss,,22.0,22.0,22.0,22.0,22.0,3.0,2.0,1.0,3.0,3.0
1,0,male,,0,0,52.0,S,0,Mr,A,61.0,37.0,27.0,30.0,32.0,1.0,1.0,1.0,1.0,1.0
1,0,male,47.0,0,0,25.5875,S,0,Mr,E,47.0,47.0,47.0,47.0,47.0,5.0,5.0,5.0,5.0,5.0
1,1,female,39.0,1,1,83.1583,C,1,Miss,E,39.0,39.0,39.0,39.0,39.0,5.0,5.0,5.0,5.0,5.0
1,0,male,37.0,1,1,83.1583,C,0,Mr,E,37.0,37.0,37.0,37.0,37.0,5.0,5.0,5.0,5.0,5.0
1,1,female,64.0,0,2,83.1583,C,1,Mrs,E,64.0,64.0,64.0,64.0,64.0,5.0,5.0,5.0,5.0,5.0
1,1,female,55.0,2,0,25.7,S,1,Mrs,C,55.0,55.0,55.0,55.0,55.0,3.0,3.0,3.0,3.0,3.0
1,0,male,,0,0,26.55,S,0,Mr,,31.0,25.0,48.0,24.0,54.0,3.0,2.0,3.0,4.0,2.0
1,0,male,70.0,1,1,71.0,S,0,Rare Title,B,70.0,70.0,70.0,70.0,70.0,2.0,2.0,2.0,2.0,2.0
1,1,female,36.0,0,2,71.0,S,1,Miss,B,36.0,36.0,36.0,36.0,36.0,2.0,2.0,2.0,2.0,2.0
1,1,female,64.0,1,1,26.55,S,1,Mrs,B,64.0,64.0,64.0,64.0,64.0,2.0,2.0,2.0,2.0,2.0
1,0,male,39.0,1,0,71.2833,C,0,Mr,C,39.0,39.0,39.0,39.0,39.0,3.0,3.0,3.0,3.0,3.0
1,1,female,38.0,1,0,71.2833,C,1,Mrs,C,38.0,38.0,38.0,38.0,38.0,3.0,3.0,3.0,3.0,3.0
1,1,male,51.0,0,0,26.55,S,1,Mr,E,51.0,51.0,51.0,51.0,51.0,5.0,5.0,5.0,5.0,5.0
1,1,male,27.0,0,0,30.5,S,1,Mr,,27.0,27.0,27.0,27.0,27.0,3.0,2.0,3.0,3.0,2.0
1,1,female,33.0,0,0,151.55,S,1,Miss,,33.0,33.0,33.0,33.0,33.0,2.0,2.0,3.0,5.0,2.0
1,0,male,31.0,1,0,52.0,S,0,Mr,B,31.0,31.0,31.0,31.0,31.0,2.0,2.0,2.0,2.0,2.0
1,1,female,27.0,1,2,52.0,S,1,Mrs,B,27.0,27.0,27.0,27.0,27.0,2.0,2.0,2.0,2.0,2.0
1,1,male,31.0,1,0,57.0,S,1,Mr,B,31.0,31.0,31.0,31.0,31.0,2.0,2.0,2.0,2.0,2.0
1,1,female,17.0,1,0,57.0,S,1,Mrs,B,17.0,17.0,17.0,17.0,17.0,2.0,2.0,2.0,2.0,2.0
1,1,male,53.0,1,1,81.8583,S,1,Rare Title,A,53.0,53.0,53.0,53.0,53.0,1.0,1.0,1.0,1.0,1.0
1,1,male,4.0,0,2,81.8583,S,1,Master,A,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0
1,1,female,54.0,1,1,81.8583,S,1,Mrs,A,54.0,54.0,54.0,54.0,54.0,1.0,1.0,1.0,1.0,1.0
1,0,male,50.0,1,0,106.425,C,0,Mr,C,50.0,50.0,50.0,50.0,50.0,3.0,3.0,3.0,3.0,3.0
1,1,female,27.0,1,1,247.5208,C,1,Mrs,B,27.0,27.0,27.0,27.0,27.0,2.0,2.0,2.0,2.0,2.0
1,1,female,48.0,1,0,106.425,C,1,Mrs,C,48.0,48.0,48.0,48.0,48.0,3.0,3.0,3.0,3.0,3.0
1,1,female,48.0,1,0,39.6,C,1,Rare Title,A,48.0,48.0,48.0,48.0,48.0,1.0,1.0,1.0,1.0,1.0
1,1,male,49.0,1,0,56.9292,C,1,Rare Title,A,49.0,49.0,49.0,49.0,49.0,1.0,1.0,1.0,1.0,1.0
1,0,male,39.0,0,0,29.7,C,0,Mr,A,39.0,39.0,39.0,39.0,39.0,1.0,1.0,1.0,1.0,1.0
1,1,female,23.0,0,1,83.1583,C,1,Mrs,C,23.0,23.0,23.0,23.0,23.0,3.0,3.0,3.0,3.0,3.0
1,1,female,38.0,0,0,227.525,C,1,Miss,C,38.0,38.0,38.0,38.0,38.0,3.0,3.0,3.0,3.0,3.0
1,1,female,54.0,1,0,78.2667,C,1,Miss,D,54.0,54.0,54.0,54.0,54.0,4.0,4.0,4.0,4.0,4.0
1,0,female,36.0,0,0,31.6792,C,0,Miss,A,36.0,36.0,36.0,36.0,36.0,1.0,1.0,1.0,1.0,1.0
1,0,male,,0,0,221.7792,S,0,Mr,C,51.0,38.0,48.0,48.0,56.0,3.0,3.0,3.0,3.0,3.0
1,1,female,,0,0,31.6833,S,1,Mrs,,54.0,70.0,36.0,45.0,62.0,4.0,2.0,3.0,2.0,3.0
1,1,female,,0,0,110.8833,C,1,Miss,,22.0,21.0,22.0,18.0,33.0,4.0,2.0,2.0,4.0,1.0
1,1,male,36.0,0,0,26.3875,S,1,Mr,E,36.0,36.0,36.0,36.0,36.0,5.0,5.0,5.0,5.0,5.0
1,0,male,30.0,0,0,27.75,C,0,Mr,C,30.0,30.0,30.0,30.0,30.0,3.0,3.0,3.0,3.0,3.0
1,1,female,24.0,3,2,263.0,S,1,Miss,C,24.0,24.0,24.0,24.0,24.0,3.0,3.0,3.0,3.0,3.0
1,1,female,28.0,3,2,263.0,S,1,Miss,C,28.0,28.0,28.0,28.0,28.0,3.0,3.0,3.0,3.0,3.0
1,1,female,23.0,3,2,263.0,S,1,Miss,C,23.0,23.0,23.0,23.0,23.0,3.0,3.0,3.0,3.0,3.0
1,0,male,19.0,3,2,263.0,S,0,Mr,C,19.0,19.0,19.0,19.0,19.0,3.0,3.0,3.0,3.0,3.0
1,0,male,64.0,1,4,263.0,S,0,Mr,C,64.0,64.0,64.0,64.0,64.0,3.0,3.0,3.0,3.0,3.0
1,1,female,60.0,1,4,263.0,S,1,Mrs,C,60.0,60.0,60.0,60.0,60.0,3.0,3.0,3.0,3.0,3.0
1,1,female,30.0,0,0,56.9292,C,1,Miss,E,30.0,30.0,30.0,30.0,30.0,5.0,5.0,5.0,5.0,5.0
1,0,male,,0,0,26.55,S,0,Mr,D,29.0,25.0,19.0,63.0,51.0,4.0,4.0,4.0,4.0,4.0
1,1,male,50.0,2,0,133.65,S,1,Rare Title,,50.0,50.0,50.0,50.0,50.0,3.0,3.0,2.0,1.0,3.0
1,1,male,43.0,1,0,27.7208,C,1,Mr,D,43.0,43.0,43.0,43.0,43.0,4.0,4.0,4.0,4.0,4.0
1,1,female,,1,0,133.65,S,1,Mrs,,45.0,70.0,48.0,29.0,50.0,4.0,3.0,2.0,3.0,3.0
1,1,female,22.0,0,2,49.5,C,1,Miss,B,22.0,22.0,22.0,22.0,22.0,2.0,2.0,2.0,2.0,2.0
1,1,male,60.0,1,1,79.2,C,1,Mr,B,60.0,60.0,60.0,60.0,60.0,2.0,2.0,2.0,2.0,2.0
1,1,female,48.0,1,1,79.2,C,1,Mrs,B,48.0,48.0,48.0,48.0,48.0,2.0,2.0,2.0,2.0,2.0
1,0,male,,0,0,0.0,S,0,Mr,B,35.0,58.0,26.0,65.0,50.0,2.0,2.0,2.0,2.0,2.0
1,0,male,37.0,1,0,53.1,S,0,Mr,C,37.0,37.0,37.0,37.0,37.0,3.0,3.0,3.0,3.0,3.0
1,1,female,35.0,1,0,53.1,S,1,Mrs,C,35.0,35.0,35.0,35.0,35.0,3.0,3.0,3.0,3.0,3.0
1,0,male,47.0,0,0,38.5,S,0,Mr,E,47.0,47.0,47.0,47.0,47.0,5.0,5.0,5.0,5.0,5.0
1,1,female,35.0,0,0,211.5,C,1,Miss,C,35.0,35.0,35.0,35.0,35.0,3.0,3.0,3.0,3.0,3.0
1,1,female,22.0,0,1,59.4,C,1,Miss,,22.0,22.0,22.0,22.0,22.0,4.0,2.0,3.0,3.0,2.0
1,1,female,45.0,0,1,59.4,C,1,Mrs,,45.0,45.0,45.0,45.0,45.0,3.0,3.0,2.0,1.0,1.0
1,0,male,24.0,0,0,79.2,C,0,Mr,B,24.0,24.0,24.0,24.0,24.0,2.0,2.0,2.0,2.0,2.0
1,1,male,49.0,1,0,89.1042,C,1,Mr,C,49.0,49.0,49.0,49.0,49.0,3.0,3.0,3.0,3.0,3.0
1,1,female,,1,0,89.1042,C,1,Mrs,C,48.0,32.0,27.0,29.0,57.0,3.0,3.0,3.0,3.0,3.0
1,0,male,71.0,0,0,34.6542,C,0,Mr,A,71.0,71.0,71.0,71.0,71.0,1.0,1.0,1.0,1.0,1.0
1,1,male,53.0,0,0,28.5,C,1,Rare Title,C,53.0,53.0,53.0,53.0,53.0,3.0,3.0,3.0,3.0,3.0
1,1,female,19.0,0,0,30.0,S,1,Miss,B,19.0,19.0,19.0,19.0,19.0,2.0,2.0,2.0,2.0,2.0
1,0,male,38.0,0,1,153.4625,S,0,Mr,C,38.0,38.0,38.0,38.0,38.0,3.0,3.0,3.0,3.0,3.0
1,1,female,58.0,0,1,153.4625,S,1,Mrs,C,58.0,58.0,58.0,58.0,58.0,3.0,3.0,3.0,3.0,3.0
1,1,male,23.0,0,1,63.3583,C,1,Mr,D,23.0,23.0,23.0,23.0,23.0,4.0,4.0,4.0,4.0,4.0
1,1,female,45.0,0,1,63.3583,C,1,Mrs,D,45.0,45.0,45.0,45.0,45.0,4.0,4.0,4.0,4.0,4.0
1,0,male,46.0,0,0,79.2,C,0,Mr,B,46.0,46.0,46.0,46.0,46.0,2.0,2.0,2.0,2.0,2.0
1,1,male,25.0,1,0,55.4417,C,1,Mr,E,25.0,25.0,25.0,25.0,25.0,5.0,5.0,5.0,5.0,5.0
1,1,female,25.0,1,0,55.4417,C,1,Mrs,E,25.0,25.0,25.0,25.0,25.0,5.0,5.0,5.0,5.0,5.0
1,1,male,48.0,1,0,76.7292,C,1,Mr,D,48.0,48.0,48.0,48.0,48.0,4.0,4.0,4.0,4.0,4.0
1,1,female,49.0,1,0,76.7292,C,1,Mrs,D,49.0,49.0,49.0,49.0,49.0,4.0,4.0,4.0,4.0,4.0
1,0,male,,0,0,42.4,S,0,Mr,,65.0,37.0,48.0,30.0,50.0,4.0,2.0,2.0,2.0,3.0
1,0,male,45.0,1,0,83.475,S,0,Mr,C,45.0,45.0,45.0,45.0,45.0,3.0,3.0,3.0,3.0,3.0
1,1,female,35.0,1,0,83.475,S,1,Mrs,C,35.0,35.0,35.0,35.0,35.0,3.0,3.0,3.0,3.0,3.0
1,0,male,40.0,0,0,0.0,S,0,Mr,B,40.0,40.0,40.0,40.0,40.0,2.0,2.0,2.0,2.0,2.0
1,1,male,27.0,0,0,76.7292,C,1,Mr,D,27.0,27.0,27.0,27.0,27.0,4.0,4.0,4.0,4.0,4.0
1,1,male,,0,0,30.0,S,1,Mr,D,35.0,27.0,31.0,26.0,28.0,4.0,4.0,4.0,4.0,4.0
1,1,female,24.0,0,0,83.1583,C,1,Miss,C,24.0,24.0,24.0,24.0,24.0,3.0,3.0,3.0,3.0,3.0
1,0,male,55.0,1,1,93.5,S,0,Mr,B,55.0,55.0,55.0,55.0,55.0,2.0,2.0,2.0,2.0,2.0
1,1,female,52.0,1,1,93.5,S,1,Mrs,B,52.0,52.0,52.0,52.0,52.0,2.0,2.0,2.0,2.0,2.0
1,0,male,42.0,0,0,42.5,S,0,Mr,B,42.0,42.0,42.0,42.0,42.0,2.0,2.0,2.0,2.0,2.0
1,0,male,,0,0,51.8625,S,0,Mr,E,36.0,52.0,21.0,26.0,54.0,5.0,5.0,5.0,5.0,5.0
1,0,male,55.0,0,0,50.0,S,0,Mr,C,55.0,55.0,55.0,55.0,55.0,3.0,3.0,3.0,3.0,3.0
1,1,female,16.0,0,1,57.9792,C,1,Miss,B,16.0,16.0,16.0,16.0,16.0,2.0,2.0,2.0,2.0,2.0
1,1,female,44.0,0,1,57.9792,C,1,Mrs,B,44.0,44.0,44.0,44.0,44.0,2.0,2.0,2.0,2.0,2.0
1,1,female,51.0,1,0,77.9583,S,1,Mrs,D,51.0,51.0,51.0,51.0,51.0,4.0,4.0,4.0,4.0,4.0
1,0,male,42.0,1,0,52.0,S,0,Mr,,42.0,42.0,42.0,42.0,42.0,4.0,2.0,2.0,2.0,1.0
1,1,female,35.0,1,0,52.0,S,1,Mrs,,35.0,35.0,35.0,35.0,35.0,4.0,3.0,2.0,2.0,2.0
1,1,male,35.0,0,0,26.55,C,1,Mr,,35.0,35.0,35.0,35.0,35.0,3.0,2.0,3.0,3.0,3.0
1,1,male,38.0,1,0,90.0,S,1,Mr,C,38.0,38.0,38.0,38.0,38.0,3.0,3.0,3.0,3.0,3.0
1,0,male,,0,0,30.6958,C,1,Mr,,26.0,24.0,24.0,36.0,24.0,3.0,2.0,2.0,4.0,2.0
1,1,female,35.0,1,0,90.0,S,1,Mrs,C,35.0,35.0,35.0,35.0,35.0,3.0,3.0,3.0,3.0,3.0
1,1,female,38.0,0,0,80.0,S,1,Miss,B,38.0,38.0,38.0,38.0,38.0,2.0,2.0,2.0,2.0,2.0
1,0,female,50.0,0,0,28.7125,C,0,Miss,C,50.0,50.0,50.0,50.0,50.0,3.0,3.0,3.0,3.0,3.0
1,1,male,49.0,0,0,0.0,S,1,Mr,B,49.0,49.0,49.0,49.0,49.0,2.0,2.0,2.0,2.0,2.0
1,0,male,46.0,0,0,26.0,S,0,Mr,,46.0,46.0,46.0,46.0,46.0,4.0,3.0,3.0,4.0,2.0
1,0,male,50.0,0,0,26.0,S,0,Mr,E,50.0,50.0,50.0,50.0,50.0,5.0,5.0,5.0,5.0,5.0
1,0,male,32.5,0,0,211.5,C,0,Mr,C,32.5,32.5,32.5,32.5,32.5,3.0,3.0,3.0,3.0,3.0
1,0,male,58.0,0,0,29.7,C,0,Mr,B,58.0,58.0,58.0,58.0,58.0,2.0,2.0,2.0,2.0,2.0
1,0,male,41.0,1,0,51.8625,S,0,Mr,D,41.0,41.0,41.0,41.0,41.0,4.0,4.0,4.0,4.0,4.0
1,1,female,,1,0,51.8625,S,1,Mrs,D,43.0,52.0,19.0,44.0,36.0,4.0,4.0,4.0,4.0,4.0
1,1,male,42.0,1,0,52.5542,S,1,Mr,D,42.0,42.0,42.0,42.0,42.0,4.0,4.0,4.0,4.0,4.0
1,1,female,45.0,1,0,52.5542,S,1,Mrs,D,45.0,45.0,45.0,45.0,45.0,4.0,4.0,4.0,4.0,4.0
1,0,male,,0,0,26.55,S,0,Mr,C,58.0,52.0,29.0,36.0,58.0,3.0,3.0,3.0,3.0,3.0
1,1,female,39.0,0,0,211.3375,S,1,Miss,,39.0,39.0,39.0,39.0,39.0,4.0,3.0,1.0,4.0,2.0
1,1,female,49.0,0,0,25.9292,S,1,Rare Title,D,49.0,49.0,49.0,49.0,49.0,4.0,4.0,4.0,4.0,4.0
1,1,female,30.0,0,0,106.425,C,1,Miss,,30.0,30.0,30.0,30.0,30.0,2.0,3.0,3.0,4.0,1.0
1,1,male,35.0,0,0,512.3292,C,1,Mr,B,35.0,35.0,35.0,35.0,35.0,2.0,2.0,2.0,2.0,2.0
1,0,male,,0,0,27.7208,C,0,Mr,,49.0,50.0,25.0,38.0,39.0,2.0,2.0,2.0,3.0,2.0
1,0,male,42.0,0,0,26.55,S,0,Mr,,42.0,42.0,42.0,42.0,42.0,2.0,3.0,5.0,3.0,3.0
1,1,female,55.0,0,0,27.7208,C,1,Mrs,,55.0,55.0,55.0,55.0,55.0,4.0,2.0,3.0,2.0,3.0
1,1,female,16.0,0,1,39.4,S,1,Miss,D,16.0,16.0,16.0,16.0,16.0,4.0,4.0,4.0,4.0,4.0
1,1,female,51.0,0,1,39.4,S,1,Mrs,D,51.0,51.0,51.0,51.0,51.0,4.0,4.0,4.0,4.0,4.0
1,0,male,29.0,0,0,30.0,S,0,Mr,D,29.0,29.0,29.0,29.0,29.0,4.0,4.0,4.0,4.0,4.0
1,1,female,21.0,0,0,77.9583,S,1,Miss,D,21.0,21.0,21.0,21.0,21.0,4.0,4.0,4.0,4.0,4.0
1,0,male,30.0,0,0,45.5,S,0,Mr,,30.0,30.0,30.0,30.0,30.0,2.0,2.0,2.0,1.0,2.0
1,1,female,58.0,0,0,146.5208,C,0,Miss,B,58.0,58.0,58.0,58.0,58.0,2.0,2.0,2.0,2.0,2.0
1,1,female,15.0,0,1,211.3375,S,1,Miss,B,15.0,15.0,15.0,15.0,15.0,2.0,2.0,2.0,2.0,2.0
1,0,male,30.0,0,0,26.0,S,0,Mr,C,30.0,30.0,30.0,30.0,30.0,3.0,3.0,3.0,3.0,3.0
1,1,female,16.0,0,0,86.5,S,1,Miss,B,16.0,16.0,16.0,16.0,16.0,2.0,2.0,2.0,2.0,2.0
1,1,male,,0,0,29.7,C,1,Mr,C,27.0,51.0,30.0,35.0,40.0,3.0,3.0,3.0,3.0,3.0
1,0,male,19.0,1,0,53.1,S,0,Mr,D,19.0,19.0,19.0,19.0,19.0,4.0,4.0,4.0,4.0,4.0
1,1,female,18.0,1,0,53.1,S,1,Mrs,D,18.0,18.0,18.0,18.0,18.0,4.0,4.0,4.0,4.0,4.0
1,1,female,24.0,0,0,49.5042,C,1,Miss,C,24.0,24.0,24.0,24.0,24.0,3.0,3.0,3.0,3.0,3.0
1,0,male,46.0,0,0,75.2417,C,0,Mr,C,46.0,46.0,46.0,46.0,46.0,3.0,3.0,3.0,3.0,3.0
